translated_question,subject,translated_choices,answer
"Riskin qavrayışı, əgər ona davamlı olaraq xatırladılırsa, yalnız satınalma zamanı nəzərə alındığından daha yüksək olur. Bu, belə adlandırılır:",marketing,['Satınalma konteksti.' 'Qiymət əlaqəsi.' 'Tək ədəd qiymətləndirməsi.' 'Əlavə qiymət.'],0
"Reklam verənlər tərəfindən onlayn şirkətlərə ödənilən haqlar, keyfiyyətli potensial müştərilərə yönləndirmələr və ya istehlakçıların marketoloq tərəfindən əlaqə yaradılmasına razılıq verdikləri istehlakçı məlumatlarını təmin etməklə bağlıdır. Bu, belə adlanır:",marketing,['Liderlərin əldə edilməsi.' 'Axtarış.' 'Zəngin media.' 'Sosial media marketinqi.'],0
Promosiya qarışığının hansı elementi mənfi hekayələri və hadisələri idarə edir və yaxşı korporativ imicə dəstək verir?,marketing,['Şəxsi satış' 'Satışın təşviqi' 'Birbaşa marketinq' 'İctimaiyyətlə əlaqələr'],3
"Bu, məlumatları toplamaq, indeksləmək, saxlamaq və vebdə (məsələn, veb səhifələr, şəkillər, məlumatlar və digər fayl növləri) geri çağırmaq üçün alqoritmik və ya alqoritmik və insan girişinin qarışığı ilə işləyir. Bu, istifadəçilərə axtarış sorğusuna cavab olaraq məlumatları idarə olunan və mənalı bir şəkildə əlçatan edir. Bu, belə adlandırılır:",marketing,['Banner reklamlar.' 'Pop-up reklamlar.' 'Axtarış sistemi.' 'Tətbiqlər.'],2
Marketinq və marketinq fəaliyyətlərinin bir təşkilat daxilindəki roluna güclü təsir göstərən dörd rəqabət aparan fəlsəfə mövcuddur. Aşağıdakıların hansısı bazar yönümlülüyünün komponenti deyil?,marketing,['Müştəri yönümlülük.' 'Mənfəət yönümlülük.' 'İnterfunksional koordinasiya.' 'Rəqib yönümlülük.'],1
Təşkilatın Strateji Biznes Vahidlərini (SBV) qiymətləndirmək üçün Boston Konsaltinq Qrupu bəzi SBV-ləri xarakterizə edən portfel performansı çərçivəsi hazırlamışdır:,marketing,['Sual işarələri.' 'Tez qaliblər.' 'Yüklənən buğalar.' 'Nağd çıxışlar.'],0
"Tütün reklamları indi dünyanın bir çox ölkəsində demək olar ki, bütün marketinq kommunikasiya formalarında qadağan edilib. Bu, aşağıdakı təsirin nəticəsi kimi izah edilə bilər:",marketing,['Texnoloji mühit.' 'Hüquqi mühit.' 'İqtisadi mühit.' 'Ekoloji mühit.'],1
Pine və Gilmore (1999) iki ölçüyə əsaslanaraq dörd fərqli təcrübə sahəsi müəyyən edirlər. Bu ölçülər hansılardır?,marketing,['Müştəri iştirakçılığı və ətraf mühit əlaqəsi.' 'Müştəri cəlbi və ətraf mühit əlaqəsi.' 'Müştəri iştirakçılığı və müştəri əlaqəsi.' 'Müştəri saxlanması və müştəri əlaqəsi.'],0
"Reklam modelinə, reklam verənlərin hədəf bazarlarına uyğun açar sözlər və ya ifadələr üçün təklif verdikləri və sponsorluq olunan/ödənişli axtarış mühərriki siyahıları vasitəsilə vebsayta trafik gətirdikləri model deyilir:",marketing,['Axtarış motorlarının optimizasiyası (SEO).' 'Kontekstual reklam.' 'Rəqəmsal aktivlərin optimizasiyası (DAO).' 'Klik başına ödəniş (PPC).'],3
"Bunlar, məhsulların istehsalçılardan və istehsal müəssisələrindən son istifadəçilərə çatdırılması ilə əlaqədar proseslərin və fəaliyyətlərin idarə olunması ilə məşğul olan təşkilatlar zənciridir. Hər hansı bir yolculuqda iştirak edən təşkilatlar birlikdə belə adlanır:",marketing,['Paylama.' 'Satıcı.' 'Kommunikasiya.' 'Satış.'],0
_______________ brendlərin seçiminin müxtəlif atributlarını təsvir etmək üçün mövqe müəyyənləşdirmə prosesində istifadə olunur.,marketing,['Məhsul xüsusiyyətləri.' 'SIC kodu.' 'Qavrayış xəritələri.' 'Təşkilati xüsusiyyətlər.'],2
"Avqustun 4-də bir mağaza 7,000 dollar məbləğində beş divan alıb, şərtlər 2/10, n/30. Faktura avqustun 13-də ödənilib. Mağaza ödəyib",marketing,"['$7,140 ' '$7,000 ' '$6,860 ' '$6,300 ']",2
Aşağıdakılardan hansıları müştərilərə aldıqları şirkətin qiymət baxımından rəqabətqabiliyyətli olduğunu bilməklə rahatlıq təmin etməyə yönəldilib?,marketing,['Qiymət rəqabətliliyi.' 'Qiymət zəmanəti.' 'İstinad qiymətləri.' 'Qiymət zəmanəti sxemləri.'],3
"Leone və Shultz-a (1980) görə, qanun kimi ümumiləşdirmə 1 izah edir ki, ___________ ümumi sənaye (bazar) satışlarına birbaşa və müsbət təsir göstərir.",marketing,['Artan istehlakçı tələbi.' 'Reklam.' 'Urbanizasiyanın artması.' 'Elastiklik.'],1
"Bu, ünsiyyət prosesinin bir hissəsidir ki, burada qəbuledicilər mesajın müxtəlif komponentlərini açır, məna verməyə başlayır və mesaja mənalar yükləyirlər:",marketing,['Kodlaşdırma.' 'Dekodlaşdırma.' 'Transfer.' 'Səs-küy.'],1
Seqmentləşdirilmiş bazarın bir nümunəsi belə olardı:,marketing,"[""Phillips məhsulunu 'Hiss və Həssaslıq' konsepsiyasına əsaslanan bir marketinq qarışığı ilə Avropa İttifaqının bütün sakinlərinə təqdim edir.""
 'Marks və Spencer (M&S) mağazasında yüksək gəlirli və aşağı gəlirli istehlakçılara eyni şəkildə yanaşılır.'
 'Bir bağçılıq uşaq bağçası şəhər və kənd ərazilərində yaşayan sakinləri ağaclara ehtiyacı olan bir bazar kimi qəbul edir.'
 'Honda potensial müştərilərini iqtisadiyyat avtomobili alıcıları və lüks avtomobil alıcıları olaraq ayırır.']",3
Psixoqrafik seqmentasiya aşağıdakılara əsaslanır:,marketing,"['İstehlakçı demoqrafik analizinin kəmiyyət tərəfi.'
 'İstehlakçı coğrafi analizinin kəmiyyət tərəfi.'
 'Fərdlərin yaşayış yerləri və həyat dövrü üstünlükləri.'
 'İnsanları onların psixoloji xüsusiyyətləri, dəyərləri və həyat tərzlərinə görə qruplaşdırmaq.']",3
"Bir çərçivə müxtəlif xidmətləri təsnif edir və bu, öz növbəsində bazar təkliflərinin hansı dərəcədə qiymətləndirilə biləcəyinə təsir göstərir və üç əsas xüsusiyyət müəyyən edilir:",marketing,"['Axtarma, eksperiment, və etibar xüsusiyyətləri.'
 'Axtarma, təcrübə, və etibar xüsusiyyətləri.'
 'Satış, etimad, və etibar xüsusiyyətləri.'
 'Axtarma, inanc, və güvən xüsusiyyətləri.']",1
"____________ məhsulu paylayır. Onlar inventarın satışı, kredit və satış sonrası xidmətlərlə əlaqəli xidmətlər vasitəsilə dəyər təklif edirlər.",marketing,['Distribyutorlar.' 'Agentlər.' 'Tacirlər.' 'Françayzlar.'],0
"Bu, həyat formalarının izlədiyi bioloji yola bənzər, ardıcıl, əvvəlcədən müəyyən edilmiş inkişaf nümunəsi vasitəsilə təqdimatların hərəkət etdiyi prosesdir:",marketing,['Difuziya prosesi.' 'Məhsulun həyat dövrü.' 'Qəbul prosesi.' 'Xidmətin inkişafı.'],1
"Qiymətin 10% artması (azalması) tələb olunan miqdarın 10% azalmasına (artmasına) səbəb olur. Bu, belə adlanır:",marketing,['Tələbin qiymət elastikliyinin sıfır olması.' 'Tələbin qiymət elastikliyinin sonsuz olması.' 'Tələbin qiymət elastikliyinin vahid olması.' 'Tələbin qiymət elastikliyinin qeyri-müəyyən olması.'],2
"Hansı tədqiqat metodları çoxsaylı respondentlərdən əvvəlcədən müəyyən edilmiş, standartlaşdırılmış suallara cavablar almaq üçün nəzərdə tutulub?",marketing,['Kvantitativ.' 'Keyfiyyət.' 'Qeyri-probabilistik.' 'Probabilistik.'],0
"_________ mərhələsində istehlakçılar yeni təklif haqqında məlumatlanırlar. Onlar az məlumat sahibidirlər və hələ məhsula qarşı xüsusi münasibət formalaşdırmayıblar. Həqiqətən də, bu mərhələdə istehlakçılar əlavə məlumat əldə etmək marağında deyillər.",marketing,['İnandırma' 'Təsdiq' 'Bilik' 'Tətbiq'],2
Aşağıdakılardan hansı nisbətən nadir hallarda alınan və istehlakçıların alışdan əvvəl biliklərini yeniləmələrini tələb edən istehlak məhsulu növüdür?,marketing,['Lüks məhsul.' 'Alış-veriş məhsulu.' 'Ümumi məhsullar.' 'Brend məhsullar.'],1
"Bu, kanal üzvünün məqsədinə nail olmasının başqası tərəfindən əngəlləndiyini qəbul etdiyi və bunun nəticəsində stress və ya gərginlik yarandığı vəziyyətdir:",marketing,['Kanal kommunikasiyası.' 'Kanal münaqişəsi.' 'Kanal əlaqələri.' 'Müştəri münaqişəsi.'],1
"Bunlar, satıcı qruplarının kollektiv olaraq alıcıları cəlb etmək əsas məqsədi ilə bir araya gəldiyi tədbirlərdir:",marketing,['Sərgilər.' 'Satış təşviqatları.' 'Kütləvi informasiya vasitələri ilə reklam.' 'Mətbuat konfransı.'],0
"Bu hədəflər, adətən, əsas rəqibin hakim olduğu və maliyyə resurslarının məhdud olduğu bazarda fəaliyyət göstərən firmalar üçün ən uyğun hesab olunur.",marketing,"['Divest məqsədləri.' 'Məhsul yığımı məqsədləri.' 'Saxlama məqsədləri.'
 'Niş məqsədləri']",3
Ümumiyyətlə böyük bir insan qrupuna bir və ya bir neçə tapşırığın yerinə yetirilməsi üçün verilməsi prosesi belə adlanır:,marketing,['Sosial media marketinqi.' 'İnternet reklamçılığı.' 'Kütləvi resurslardan istifadə.' 'E-marketinq.'],2
Aşağıdakılardan hansı tədqiqat dizaynı kateqoriyalarına aid deyil?,marketing,['Kəşfiyyat tədqiqatı.' 'Təsviri tədqiqat.' 'Səbəb-nəticə tədqiqatı.' 'Masaüstü tədqiqat.'],3
Bu marketinq və kommunikasiya aləti müştəriləri məhsul/xidmət almağa təşviq etmək üçün birbaşa təşviq və ya stimuldur:,marketing,['Reklam.' 'İctimaiyyətlə əlaqələr.' 'Satışın təşviqi.' 'Birbaşa marketinq.'],2
"Bu məqsədlər tez-tez yetkin bazarlarda, firmalar/məhsullar azalmaq mərhələsinə daxil olduqda tətbiq olunur. Məqsəd qısamüddətli mənfəəti maksimuma çatdırmaq və müsbət pul axınını stimullaşdırmaqdır.",marketing,['Satış məqsədləri.' 'Saxlama məqsədləri.' 'İnkişaf məqsədləri.' 'Məhsul yığımı məqsədləri.'],3
"Aşağıdakılardan hansı məhsul və ya xidmətlər haqqında olan, alıcının kommunikatoru qərəzsiz hesab etdiyi və məhsul və ya xidmətləri satmağa çalışmadığı interpersonal ünsiyyətdir?",marketing,"['Ağızdan-ağıza (WOM).' 'Şəxsi Satış (PS).' 'Birbaşa Marketinq (DM).'
 'Müştəri Xidməti (CS).']",0
McDonald's və KFC yaxşı nümunələrdir:,marketing,['Distribütorlar.' 'Françayzinq.' 'Tacir.' 'Pərakəndə satıcılar.'],1
Məhsulun müştərilərin tələblərinə uyğun olaraq çatdırılma üsulu aiddir:,marketing,['Yeni məhsul konsepsiyaları və təkmilləşdirmələr.' 'Satış.' 'Reklam və tanıtım fəaliyyətləri.' 'Yerləşdirmə və paylama fəaliyyətləri.'],3
Aşağıdakılardan hansı məhsulların hedonik istehlakının araşdırılmasıdır?,marketing,['Sosial qarşılıqlı əlaqə perspektivi.' 'Funksional istifadə perspektivi.' 'Təcrübəvi istehlak.' 'Brend idarəetmə perspektivi.'],2
"Bunlar rəqabəti məhv etmək üçün nəzərdə tutulmuş mağazalardır və dar, lakin çox dərin məhsul çeşidi, aşağı qiymətlər və azdan orta səviyyəyə qədər müştəri xidmətləri ilə xarakterizə olunur:",marketing,['Xüsusi mağazalar.' 'Məhdud xəttli pərakəndə satıcılar.' 'Kateqoriya-məhvedici mağazalar.' 'Supermarketlər.'],2
"Aşağıdakılardan hansı müxtəlif media kanalları vasitəsilə müəyyən növ insanlara məlumatın ötürülməsini təsvir edən, həmin məlumatı və rəhbərliyi almaq üçün digər auditoriya üzvlərinin müraciət etdiyi kommunikasiya modelidir?",marketing,['İki-addım.' 'Üç-addım.' 'Çox-addım.' 'Bir-addım.'],0
"Bir reklamda rahat oturacaqları və çoxlu boş yer olan bir qatarın daxili göstərildiyi halda, müştəri qatara minəndə yer çatışmazlığı və sərt oturacaqlar aşkar edirsə. Bu, aşağıdakı nümunəyə aiddir:",marketing,"['GAP 4-xidmətin göstərilməsi və xarici kommunikasiyalar arasındakı boşluq.'
 'GAP 2-idarəetmə qavrayışı və xidmət keyfiyyəti spesifikasiyası arasındakı boşluq.'
 ""GAP 1-müştərinin gözləntiləri və idarəetmə qavrayışı arasındakı boşluq.""
 'GAP 3-xidmət keyfiyyəti spesifikasiyaları və xidmət göstərilməsi arasındakı boşluq.']",0
"Xarici mühiti anlamaq üçün, məşhur PESTLE qısaltmasından istifadə olunur. PESTLE _____________ mənasını daşıyır.",marketing,"['Siyasi, iqtisadi, əvəzləyici, texnoloji, hüquqi və ekoloji mühitlər.'
 'Siyasi, iqtisadi, sosial, texnoloji, hüquqi və ekoloji mühitlər.'
 'Siyasi, iqtisadi, sosial, təhdid, hüquqi və ekoloji mühitlər.'
 'Satınalma, iqtisadi, sosial, texnoloji, hüquqi və ekoloji mühitlər.']",1
"Effektiv olmaq üçün, bazarın seqmentasiyası prosesi aşağıdakı əsas tələblərdən hansına cavab verməlidir?",marketing,"['Firma mənfəətlilik və həcm kimi qeyri-dəyişənlərə diqqət yetirməkdən çəkinməlidir.'
 'Bazar seqmenti ölçülə bilən satınalma gücünə və ölçüsünə malik olmalıdır.'
 'Şirkət artan bazarları ələ keçirmək üçün marketinq imkanlarını genişləndirməlidir.'
 ""Bazar seqmenti əhalinin dəyişən münasibətlərini və həyat tərzlərini əks etdirməlidir.""]",1
"Bülletenlər, kataloqlar və təşkilat tərəfindən maliyyələşdirilən tədbirlərə dəvətlər ən çox marketinq kompleksinin fəaliyyətinə bağlıdır:",marketing,['Qiymətləndirmə.' 'Paylama.' 'Məhsulun inkişafı.' 'Təşviqat.'],3
Marketoloqlar adətən marketinq tədqiqatını daxildə aparmaq və ya xarici bir təşkilat vasitəsilə həyata keçirmək qərarını müəyyən meyarlara əsasən verirlər. Aşağıdakı meyarlardan hansı istifadə olunmur?,marketing,"['Tədqiqatın dəyər vəd edib-etməməsi.' ""Agentliyin nüfuzu."" 'Tədqiqat dizaynının idarəetmə probleminə dair anlayışlar təmin edəcəyinə ehtimal.' 'Agentliyin ölçüsü.']",3
Aşağıdakı elementlərdən hansısı Porterin Sənaye Rəqabətinin Beş Qüvvəsi modelinin bir hissəsi deyil?,marketing,['Əvəzləyicilərin təhdidi.' 'Təchizatçıların təhdidi.' 'Alıcıların gücü.' 'Hökumətdən təhdid.'],3
Bunlar birbaşa son istehlakçılara satır və istehsalçılardan birbaşa ala bilər və/və ya topdansatışçılarla işləyə bilərlər:,marketing,['Distribyutorlar.' 'Françayzinq.' 'Tacir.' 'Pərakəndə satıcılar.'],3
Bazarın seqmentasiyası prosesinə başlamazdan əvvəl bir şirkət aşağıdakıları etməlidir:,marketing,['Bazarların seqmentləşdirilməsi üçün əsasları müəyyənləşdirin.' 'Ümumi bazar potensialını proqnozlaşdırın.' 'Bazar payını proqnozlaşdırın.' 'Hədəf bazar seqmentlərini seçin.'],0
Komanda əsaslı satışıın əsas məqsədi,marketing,"['şirkətin müxtəlif funksional sahələrini müştəri ehtiyaclarına uyğunlaşdırmaq'
 'hesabın idarə olunmasında yer alan işi bölüşdürmək'
 'satış bonus fondunu ədalətli şəkildə idarə etmək'
 'müştəri ilə şirkət arasında çoxsaylı əlaqə nöqtələri yaratmaq']",0
"Bu səviyyədə brendinq, müştərinin bir satıcının malını və ya xidmətini digər satıcılarınkından fərqləndirə bilən bir ad, termin və ya digər xüsusiyyətlə əlaqələndirdiyi zaman görünə bilər. Bu brendinq belə adlanır:",marketing,['Korporativ brend.' 'Ailə brendləşməsi.' 'Müştəri brendləşməsi.' 'Beynəlxalq brend.'],2
"Bu, istifadəçiyə göstərilən məzmun əsasında avtomatlaşdırılmış sistemlər tərəfindən seçilib təqdim edilən reklamlarla veb-saytlarda hədəfli reklamın bir formasıdır.",marketing,['Kontekstual reklam.' 'İnteraktiv marketinq.' 'İnternet reklamı.' 'Birbaşa marketinq.'],0
İlkin məlumatlar bunlardır:,marketing,"['İlk dəfə xüsusi olaraq marketinq tədqiqatı üçün toplanmış məlumatlar.'
'İkincil məlumatlardan daha sürətli əldə olunur və daha ucuz başa gəlir.'
'Hökumət araşdırmalarının yenicə dərc olunmuş nəticələri.'
'Resursların düzgün bölüşdürülməsini təmin etmək üçün strateji planlaşdırma fəaliyyətinin bir hissəsi.']",0
Satıcılar bir vəziyyəti müştərinin baxış bucağından görərkən nümayiş etdirirlər,marketing,['əməkdaşlıq' 'empatiya' 'məsuliyyət' 'dözüm'],1
"Bu, göndərənin ötürüləcək mesajı təmsil etmək üçün uyğun sözlər, şəkillər, simvollar və musiqi birləşməsini seçdiyi ünsiyyət prosesinin bir hissəsidir:",marketing,['Koding.' 'Dekoding.' 'Transfer.' 'Əlaqə.'],0
"Toyota-nın Prius və Honda-nın hibrid Civic modelləri texnoloji məhsullara nümunədirlər ki, bunlar ilhamlanmışdır:",marketing,"['Yapon avtomobil sənayesində üslub məsələləri.'
 'Daha az təhlükəli emissiyalara malik, yanacağa qənaətcil nəqliyyat vasitələrinin inkişaf etdirilməsi üçün sosial təzyiq.'
 'Bir çox mühəndisin sadəcə maraqlı məhsullar yaratmaq istəyi.'
 ""Yaponların böyük, yüksək sürətli avtomobillərə ehtiyac duymadıqlarının dərk edilməsi.""]",1
Bu yanaşma xüsusi məlumatları çatdırmaq və televiziya və radio proqramları vasitəsilə geniş hədəf auditoriyasını maarifləndirmək üçün istifadə olunmuşdur. Bu yanaşmaya belə deyilir:,marketing,['Rəy izləyiciləri.' 'Rəy formalaşdıranlar.' 'İctimaiyyətlə əlaqələr.' 'Rəy liderləri.'],3
"Bir şəxs bir hadisəni və ya mühiti passiv şəkildə qiymətləndirir, lakin mühitin təbiətini təsir etmədən və ya dəyişdirmədən ayrılırsa, buna deyilir:",marketing,['Əyləncə sahəsi.' 'Təhsil sahəsi.' 'Estetik sahə.' 'Qaçış sahəsi'],2
Aşağıdakılardan hansı müştərinin birbaşa xidmətlə əlaqədə olduğu bir dövr kimi daha yaxşı başa düşülür?,marketing,['Yaxşı istifadə.' 'Xidmət mühiti.' 'Xidmət qarışığı.' 'Xidmət qarşılaşmaları.'],3
"Vasitəçilər uzaqda istehsal olunmuş məhsulu satınalma və istehlak üçün daha əlverişli bir yerə gətirərək son istifadəçilərə kömək edir. Bu, belə adlanır:",marketing,"['Zaman faydası.' 'Məkan faydası.' 'Mülkiyyət faydası.'
 'Məlumat faydası.']",1
Qiymətlərin rəqiblərin tətbiq etdiyi tariflər əsasında müəyyən edildiyi qiymətqoyma yanaşması adlanır:,marketing,['Maliyət yönümlü yanaşma.' 'Tələb yönümlü yanaşma.' 'Rəqib yönümlü yanaşma.' 'Dəyər yönümlü yanaşma.'],2
Aşağıdakı test növlərindən hansı əsasən bir şəxsin yeni bacarıqları öyrənməkdə nə dərəcədə uğurlu olacağını proqnozlaşdırmağa kömək etmək üçün tərtib olunub?,marketing,['Nailiyyət' 'Bacarıq' 'Maraq' 'Şəxsiyyət'],1
"____________, axtarış sistemi şirkətinin vebsaytların axtarış indeksinə daxil edilməsinə görə ödənişlər tələb etdiyi zaman baş verir.",marketing,['Kontekstual axtarış.' 'Saytın optimizasiyası.' 'Ödənilmiş daxilolma.' 'Ödənilmiş siyahı'],2
"Məhz burada istehsal, satınalma və istehlak müxtəlif zamanlarda baş verə bilər.",marketing,['Vaxt faydası.' 'Sahiblik faydası.' 'Əlçatanlıq.' 'Məlumat faydası.'],0
"Maslouun Ehtiyaclar İyerarxiyası nəzəriyyəsinə görə, öz potensialını reallaşdırmaq, öz qabiliyyət və bacarıqlarını tam istifadə etmək və özünü tam dərk etmək ehtiyacı __________ ehtiyaclarına nümunədir.",marketing,['Özünü gerçəkləşdirmə.' 'Fizioloji.' 'Sosial.' 'Hörmət.'],0
Aşağıdakılardan hansı istehlakçı təkliflərinin əldə edilməsi prosesinin bir hissəsi deyil?,marketing,['Motivin inkişafı.' 'Məlumatların toplanması.' 'Təklifin qiymətləndirilməsi.' 'Qavrayış.'],3
"İstehlakçıların həyat dövrlərini təhlil edərkən, marketoloqlar istehlakçıları həyatlarının müxtəlif mərhələlərində nəzərdən keçirirlər. Bu konsepsiyaların əsaslandığı bir çox modellər 1960-cı illərdə inkişaf etdirilmişdir. O vaxtdan bəri 'istehlakçı həyat dövrləri'ndə çox şey dəyişmişdir. Marketoloqlar hansı yeni yaranan meylləri nəzərə almalıdırlar?",marketing,['Daha az insan evlənir.' 'İnsanlar daha gec yaşda evlənir.' 'Daha çox cütlük birlikdə yaşayır.' 'Yuxarıda göstərilənlərin hamısı.'],3
Müştərilərin dəyər təqdim etdiyinə inandıqları qiymətlər əsasında müəyyən edilən qiymətqoyma yanaşması adlanır:,marketing,['Məhsrəf yönümlü yanaşma.' 'Tələbat yönümlü yanaşma.' 'Rəqib yönümlü yanaşma.' 'Dəyər yönümlü yanaşma.'],3
"İnternet informasiya vasitəçisinin inkişafına səbəb olmuşdur. Burada əsas rol, paylama kanalının səmərəliliyini və təsirliliyini artırmaq üçün məlumatları idarə etməkdir. Bu belə adlanır:",marketing,['Zaman faydası.' 'Məlumat faydası.' 'Mülkiyyət faydası.' 'Məkan faydası.'],1
Aşağıdakılardan hansı ticarət endiriminin ən yaxşı nümunəsidir?,marketing,"['Bir taxta anbarı ev sahibinə taxta aldığı üçün endirim təklif edir.'
 'Bir pərakəndə satıcı mövsümdənkənar malları aldığı üçün istehlakçıya endirim təklif edir.'
 'Bir istehsalçı iyun ayında məhsulunu təşviq edən pərakəndə satıcılara endirim təklif edir.'
 'Bir avtomobil satıcısı müştəriyə istifadə olunmuş avtomobil müqabilində endirim təklif edir.']",2
"___________-ın yüksəlişi marketinqin tək tərəfli kütləvi kommunikasiya modelindən daha çox iştirakçı texnologiyalara (məsələn, sosial kanallar və onlayn icmalar) doğru inkişaf etməsinə səbəb olmuşdur.",marketing,['Vebsayt.' 'Sosial media.' 'Veb 1.0.' 'Veb platforması.'],1
Nysveen və Pedersen (2014) müştəri təcrübəsinin əsas ölçülərini əlavə etdilər. ______________ brendin istehlakçıları fiziki fəaliyyətlərə nə dərəcədə cəlb etdiyini göstərir.,marketing,['Affektiv ölçü.' 'İntellektual ölçü.' 'Davranış ölçüsü.' 'Sensor ölçü.'],2
Yeni texnologiya yeni mallar və xidmətlərə səbəb olur və həmçinin aşağıdakıları edə bilər:,marketing,"['Mövcud məhsulların keyfiyyətini aşağı salın.'
 'Müştəri xidmətinin mövcud səviyyəsini aşağı salın.'
 'Yeni istehsal və paylama metodları ilə qiymətləri azaldın.'
 'Köhnəlmiş hesab edilən məhsulları geri qaytarın.']",2
"Bunlar, adətən əvvəlcədən çox düşünmədən və ya nəzərə almadan alınan tez istifadə olunan mallar və ya xidmətlərdir:",marketing,['İmpuls məhsulları.' 'İstehsalçı məhsulları.' 'Rahatlıq məhsulları.' 'Lüks məhsullar.'],2
Marketinqdə termin olaraq təklif:,marketing,"['Yalnız gözlə görülə bilən, dadı hiss edilə bilən və ya toxunuşla hiss edilə bilən maddi əşyalara aiddir.'
 'İstehlakçı tələbatlarının qarşılanmasını əhatə edən geniş bir konsepsiyadır.'
 'Ancaq mallar, xidmətlər və ideyalarla məhdudlaşır.'
 'Heç vaxt paket dizaynı, marka adı və ya zəmanət kimi şeylərə aid edilmir.']",1
"Analitik məlumatları tənqidi baxımdan oxuyaraq bu məlumatların onların gözləntilərinə uyğun olub-olmadığını müəyyən etdikdə, bu, adətən belə adlanır:",marketing,['Üzünə etibarlılıq.' 'Etibarlılıq.' 'Nəzarət qrupu.' 'Fokus qrupu.'],0
Bir ölçək vasitəsilə əldə olunan dəyərlərin nə dərəcədə sabit və davamlı olduğunu təsvir edən termin hansıdır?,marketing,['Replikasiya.' 'Koddan əvvəl.' 'Etibarlılıq.' 'Rahatlıq.'],2
"_________ bir neçə üsulla müxtəlif növ qeyri-müəyyənlikləri azaltmağa imkan verir (Fill və McKee, 2012). Bunlar mürəkkəbliyi azaltmaq, dəyəri və rəqabət üstünlüyünü artırmaq, rutinləşdirmək və ixtisaslaşma təmin etmək kimi halları əhatə edir.",marketing,['Anbar.' 'Paylama.' 'Təchizat zənciri.' 'Marketinq kanalları.'],3
"Problemin mahiyyəti haqqında az bilgi olduğu zaman, problemi məlumatlı mənbələrlə müzakirə edərək və mövcud məlumatları araşdıraraq problemin səbəbini tapmağa çalışan tədqiqat aparılır. Bu növ tədqiqatdır:",marketing,['Vəziyyətin təhlili.' 'Məlumatların araşdırılması.' 'Kəşfiyyat tədqiqatı.' 'Nəticələrin təhlili.'],2
"Auditoriyanın brendlə təmasda olduğu zaman hər zaman vahid, uyğunlaşmış və ardıcıl mesajı qəbul etməsini təmin etmək üçün marketinq kommunikasiyaları qarışığının vasitələrinin əlaqələndirilməsi üsulu adlanır:",marketing,['İnteqrasiya olunmuş marketinq kommunikasiyaları (İMK).' 'Şəxsi satış (ŞS).' 'Birbaşa marketinq (BM).' 'Müştəri xidməti (MX).'],0
Aşağıdakı istehlakçı alış-veriş davranışlarından hansı ən az səy tələb edir?,marketing,['Yüksək iştiraklı satınalma vəziyyəti.' 'Yeni satınalma vəziyyəti.' 'Rutin satınalma.' 'İmpulsiv satınalma.'],2
________________ bazarda necə rəqabət aparılacağına və şirkətin müştərilərinə ən yaxşı şəkildə necə xidmət etməli olduğuna dair xüsusi qərarların qəbul edilməsinə aparan bir prosesdir.,marketing,['Portfel təhlili.' 'Ətraf mühitin skan edilməsi.' 'Strateji marketinq.' 'Marketinq araşdırması.'],2
Alıcının diqqətini cəlb etmək və onu alış-verişə təşviq etmək üçün əsas məqsədi olan media növü hansıdır? (Misallara satış nöqtələrindəki ekranlar və qablaşdırma daxildir.),marketing,['Yayımlanan media.' 'İnteraktiv media.' 'Mağaza içi media.' 'Dəstək media.'],2
"Bir tərəfin, qarşı tərəfə maliyyə vəsaiti, xidmətlər və ya resurslar müqabilində hədəf auditoriya ilə əlaqəni istismar etmək imkanı verdiyi kommersiya fəaliyyəti belə adlanır:",marketing,['Reklam.' 'Mübadilə.' 'Sponsorluq.' 'İctimaiyyətlə əlaqələr.'],2
Qeyri-təsadüfi nümunə növlərinə daxildir:,marketing,['Rahatlıq və kvota nümunələri.' 'Klaster və rahatlıq nümunələri.' 'Stratifikasiya edilmiş və rahatlıq nümunələri.' 'Təsadüfi və klaster nümunələri.'],0
Bunlar malları orta və uzun müddət saxlamaq üçün nəzərdə tutulub:,marketing,['Anbarlar.' 'Paylama mərkəzləri.' 'Daşıma nəqliyyatı.' 'Elektron məlumat mübadiləsi.'],0
"Robert qlobal istehlak məhsulları şirkətində marketinq mütəxəssisidir. O, yeni beynəlxalq bazarda hədəf auditoriyaya çatmaq üçün nəzərdə tutulmuş tanıtım kampaniyası üzərində işləyir. Robert tanıtım kampaniyasının həmin ölkənin istehlakçıları tərəfindən aydın başa düşülməsinə və heç kəsi incitməməsinə çalışır. O, xarici mühitin hansı amilləri tərəfindən təsirlənir?",marketing,['Sosial-mədəni mühit.' 'Rəqabət mühiti.' 'İqtisadi mühit.' 'Hüquqi mühit.'],0
"____________________ həmin hədəf bazarına müraciət edən, lakin bazarın ehtiyacını ödəmək üçün fərqli təklif təqdim edənlərdir, məsələn, Spotify, Sony və Apple's iPod.",marketing,"['Birbaşa rəqabətlər.' 'Birbaşa təchizatçılar.' 'Dolayı distribütorlar.'
 'Dolayı rəqabətlər.']",3
