translated_question,subject,translated_choices,answer
"___________, digər adı ilə _________, 1997-ci ildə istifadəyə verilmiş və işləmə saatları, məcburi əmək və ayrı-seçkilik kimi əsas əmək hüquqlarını əhatə edən və müstəqil auditorlar tərəfindən uyğunluğun təsdiqləndiyi qlobal iş yeri standartıdır.",business_ethics,"'Sosial məsuliyyət standartı, SA 8000' 'Sosial məsuliyyət standartı, SA 9000' 'Sarbanes-Oxley Aktı, SA 8000' 'Sarbanes-Oxley Aktı, SA 9000'",0
Menecerlər və direktorlar səhmdarların investisiyalarını qorumaq üçün fidusiar məsuliyyət daşıyırlar.,business_ethics,"['1,3,4' '1,2,3,' '1,2,4' '2,3,4']",0
Mədəni homogenləşmə.,business_ethics,"['1,3,4' '1,2,3' '1,2,3,4' '2,3,4']",1
İnsayder ticarəti fidusiar münasibəti zəiflədir.,business_ethics,"['1,2,3' '1,2,4' '2,3,4' '1,2,3,4']",1
"_____ ölçüsünə bağlı iki əsas məsələ mövcuddur. _______ əsas məsələdir, çünki korporasiyanın informasiya siyasətinə görə, işçilərin ixtisar olunduqlarını bilməyə haqları olduğu iddia edilə bilər. _______ ikinci məsələdir, xüsusən işdən çıxarıldıqda işçilərin aldığı ________ paketi məsələsi.",business_ethics,"['Aşağı, İştirak, Əmək haqqı, Təzminat'
 'Yuxarı, İştirak, Müstəqillik, Təzminat'
 'Aşağı, Müstəqillik, Əmək haqqı, Faydalar'
 'Yuxarı, Müstəqillik, İştirak, Faydalar']",0
"_______ mənəviyyatı rasionallıq sferasının hüdudlarından kənarda, başqalarına qarşı emosional 'əxlaq impulsu' kimi müəyyən edir.",business_ethics,'Fəzilət etikası' 'Etik eqoizm' 'Postmodern etika' 'Vəzifə etikası',2
"Etik ________ çərçivəsində obyektiv mənəvi prinsiplər rasional şəkildə təyin oluna bilər, halbuki etik ________ daxilində mənəviyyat həm kontekstdən asılı, həm də subyektivdir.",business_ethics,"'Normativlik, Relativizm' 'Absolutizm, Relativizm' 'Relativizm, Absolutizm' 'Absolutizm, Normativlik'",1
"İslam maliyyəsi ilə ənənəvi maliyyə arasında əsas fərqlərdən bəziləri bunlardır - faiz almaq və ödəmək qadağandır, müəyyən edilmiş qeyri-müəyyənlik və spekulyasiya qadağandır, günahkar investisiyalar qadağandır və bütün maliyyə məhsullarının əmlakla təmin olunması tələb edilir.",business_ethics,"['Maraq, Müəyyən, Spekulyativ, Qeyri-maddi aktivlər'
 'Maraq, Qeyri-müəyyən, Zəmanətli, Qeyri-maddi aktivlər'
 'Maraq, Qeyri-müəyyən, Spekulyativ, Maddi aktivlər'
 'Maraq, Müəyyən, Zəmanətli, Maddi aktivlər']",2
"________ mühakimə ictimaiyyətdə və xüsusən də biznes sahəsində geniş yayılmış hesab olunur, burada o, tez-tez ___________ şəklində adlandırılır.",business_ethics,"Sonuççu, Xərc-fayda təhlili",0
Birləşmiş Millətlər Təşkilatının Qlobal Razılaşmasında təsbit edilmiş prinsiplərdən hansı sahə ilə əhatə olunmur?,business_ethics,['İnsan hüquqları' 'Əmək' 'Kommersiya fəaliyyəti' 'Korrupsiyaya qarşı mübarizə'],2
"Wooda (1991) görə, KSM-in üç nəticəsi hansılardır?",business_ethics,"'Sosial siyasətlər, Sosial proqramlar və Sosial təsirlər'
'Sosial qiymətləndirmələr, Sosial proqramlar və Sosial təsirlər'
'Sosial siyasətlər, Sosial sübutlar və Sosial təsirlər'
'Sosial siyasətlər, Sosial proqramlar və Sosial analiz'",0
"Müəssisələr _________ tələblərinə cavab olaraq, ________ müəyyən etmək, ___________ yaxşılaşdırmaq və _________ və ___________ təşviq etmək məqsədilə sosial uçotla məşğul olurlar.",business_ethics,"'Maraqlı tərəflər, Risklər, Maraqlı tərəflərin idarə edilməsi, Hesabatlılıq, Şəffaflıq'
'Maraqlı tərəflər, Hesabatlılıq, Şəffaflıq, Risklər, Maraqlı tərəflərin idarə edilməsi'
'Maraqlı tərəflər, Hesabatlılıq, Risklər, Maraqlı tərəflər, Maraqlı tərəflərin idarə edilməsi'
'Maraqlı tərəflər, Maraqlı tərəflərin idarə edilməsi, Şəffaflıq, Risklər, Hesabatlılıq'",0
"Post-modern etika iddia edir ki, etika kontekstdən və fərddən asılı olaraq dəyişir və beləliklə daxili etikaya yönəldici bir bələdçi malikdir.",business_ethics,"['2,3' '1,3' '1,2,3' '1,2']",1
"Məsələlərə diqqət, səhmdarlardan kənara çıxan nəzərdə tutulan auditoriya və ___________ könüllülük xarakteri onu ___________ fərqləndirir.",business_ethics,"['Maliyyə uçotu, Ətraf mühitin idarə edilməsi təşəbbüsləri'
 'Maliyyə uçotu, Sosial uçot.'
 'Sosial uçot, Maliyyə uçotu.'
 'İllik hesabatın nəşri, Sosial uçot']",2
"Mənfi reklam, müştəriləri oğurlamaq və ya ələ keçirmək, yırtıcı qiymət siyasəti kimi strategiyalar, ümumi olaraq ________ adlanan bir termin altında təsvir edilən bizneslər tərəfindən tətbiq edilir.",business_ethics,['Məqbul rəqabət davranışı' 'Fırıldaqlar' 'Rəqabət hiylələri' 'Çirkli hiylələr'],3
"______ iş yerində işçilərin səlahiyyətləndirilməsini əhatə edir, məsələn, işçilərə işlərini necə təşkil edəcəklərinə dair daha geniş səlahiyyət verildiyi ""işin zənginləşdirilməsi"" və ya işçilərə daha geniş tapşırıqlar dairəsi verildiyi ""işin genişləndirilməsi"".",business_ethics,'Yenidən canlandırmaq' 'Yenidən çiçəkləndirmək' 'Yenidən dirçəltmək' 'Yenidən insanlaşdırmaq',3
Mənfi ictimaiyyətlə əlaqələrin qarşısını almaq zərurəti.,business_ethics,"['1,3,4' '2,3,4' '1,2,3' '1,2,3,4']",2
"Biznesin artması yönəlmiş, özəl tənzimləmənin yüksəlişi bu amillərə aid edilə bilər: sənayedən _______ yanaşmanın təşviqi, _______ və _______ məqsədlərin əldə edilməsi.",business_ethics,"'Daha sürətli, Səmərəli xərc, Daha yavaş' 'Daha sürətli, Artan xərclər, Daha yavaş' 'Proaktiv, Səmərəli xərc, Daha sürətli' 'Proaktiv, Artan xərclər, Daha sürətli'",2
"Davamlılıq anlayışı, planetin daşıyıcı qabiliyyətini təhlil edən inkişaf modellərindən irəli gəlmişdir və ümumilikdə yerin məhdud qabiliyyəti və indiki və keçmiş nəsillər tərəfindən ________, ________ və _______ gələcək nəsillərin həyat keyfiyyətini azalda biləcəyini nəticə olaraq qəbul edir. Bu, təbii mühiti qorumaq və saxlamaq zərurətinə diqqət yetirən ekoloji perspektivdən fərqlənir.",business_ethics,"['İqtisadi, Resursların həddindən artıq istifadəsi, Əhali artımı, Çirklənmənin artması'
 'İqtisadi, Resursların kifayət qədər istifadə edilməməsi, Əhalinin azlığı, Davamsızlıq'
 'Ekoloji, Resursların kifayət qədər istifadə edilməməsi, Əhali artımı, Çirklənmənin artması'
 'Ekoloji, Resursların həddindən artıq istifadəsi, Əhalinin azlığı, Davamsızlıq']",2
"Sağlam qidalanma, xüsusən də şəkər və duz istehlakı, qida və qablaşdırma tullantıları və təchizat zəncirində CO2 emissiyaları, ________ qarşısında duran biznes etikası məsələləridir.",business_ethics,['Supermarket sənayesi' 'Kimya sənayesi' 'Tikinti sənayesi' 'İnformasiya və mobil texnologiyalar sənayesi'],0
"_______ inkişaf etməkdə olan ölkələrdə istehsalçılara yaşayış maaşı, layiqli iş şəraiti və icma inkişafı üçün imkanları təmin etməyə əsaslanan mübadilə sistemidir.",business_ethics,'Davamlı mənbə' 'Ədalətli ticarət' 'Etik mənbə' 'Təchizat zəncirinə məsuliyyət',1
_________ zamanla sabit qalan və qərar qəbul etməyə təsir edən arzuolunan davranışlar və hədəflər haqqında fərdi inanclardır.,business_ethics,'Xarakter xüsusiyyətləri' 'Şəxsi dəyərlər' 'Şəxsi münasibətlər' 'Şəxsi xüsusiyyətlər',1
Onlar çox qeyri-rasional və kodlaşdırılmamışdır.,business_ethics,"['3,4' '1,3' '2,3' '4,1']",1
Məlumatın istifadə olunduğu məqsədlər ictimaiyyətin maraqlarına xidmət edir.,business_ethics,"['1,2' '1,3' '2,3' '1,2,3']",0
Özəl Sektor Sosial Sahibkarlıq Modeli,business_ethics,"['1,2,4' '2,3,4' '1,2,3,4' '1,2,3']",3
______ fərdin vətəndaşlıq hüquqlarını idarə etməkdə korporativ rol oynayır,business_ethics,'Siyasi Korporativ Sosial Məsuliyyət' 'Üçlü Aşağı Xətt' 'Davamlılıq' 'Korporativ Vətəndaşlıq',3
Kodin necə tətbiq edildiyi.,business_ethics,"['1,2,3' '1,2,4' '1,3,4' '2,3,4']",1
"Evan və Freemanın (1993) fikrincə, ________ Prinsipi və _______ Prinsipi müəyyən bir vəziyyətdə _______ təşkil edənləri müəyyən etmək üçün istifadə oluna bilər.",business_ethics,"['Korporativ hüquqlar, Korporativ təsir, Maraq sahibi'
 'Korporativ inkar, Korporativ təsir, Maraq sahibi'
 'Korporativ hüquqlar, Korporativ məsuliyyət, Maraq sahibi'
 'Korporativ hüquqlar, Korporativ təsir, Səhmdar']",0
"Etika ilə qanun arasındakı münasibət belə təsvir edilə bilər ki,…",business_ethics,"'Əslində, inanılmaz dərəcədə yaxındır, bütün hallarda etik olan hüquqi olanla eynidir və əksinə.'
'Yaxın deyil, etika və qanun müəyyən dərəcədə üst-üstə düşür, lakin əsasən fərqli sualları və mövzuları əhatə edir.'
'Yaxındır, çünki etika və qanun arasında əhəmiyyətli dərəcədə üst-üstə düşmə var, lakin ikisi eyni deyil.'
'Heç də yaxın deyil, etika və qanun praktiki olaraq bir-birinə uyğun gəlmir.'",2
"Biznesdən-biznesə kontekstdə maraqların toqquşması iki əsas şəkildə meydana gələ bilər: məsələn, bir şirkət digər şirkət tərəfindən peşəkar xidmətlərin təchizatçısı kimi işə götürüldükdə yarana bilən _______ və _______ maraqlarının toqquşması və ya fərdi maraqların işəgötürənin maraqları ilə toqquşduğu ________ və ________ maraqlarının toqquşması.",business_ethics,"[‘Peşəkar, Təşkilati, Şəxsi, Təşkilati’, ‘Peşəkar, Fərdi, Şəxsi, Təşkilati’, ‘Fərdi, Təşkilati, Təşkilati, Peşəkar’, ‘Fərdi, Peşəkar, Təşkilati, Şəxsi’]",0
"________ biznes etikasının idarəedilməsi üçün bir vasitədir və son onilliklər ərzində əhəmiyyətli dərəcədə inkişaf etmişdir. Bu vasitənin əhatə etdiyi sahələrə uyğunluq, korrupsiya və ətraf mühit məsələləri daxildir. Bununla belə, onlar daim inkişaf edir, məsələn, son illərdə __________ üzərindəki yük artmışdır.",business_ethics,"İllik hesabatlar, Şirkətin maliyyə göstəriciləri
İllik hesabat, İnternet - sosial media və şəbəkələşmə
Etika kodeksləri, Şirkətin maliyyə göstəriciləri
Etika kodeksləri, İnternet - sosial media və şəbəkələşmə",3
Aşağıdakı ifadələrdən hansı doğrudur?,business_ethics,"[""Biznes etikası real bir anlayış deyil, çünki gündəlik həyatın qaydaları və etikası biznes dünyasına tətbiq edilmir.""
 ""Biznes etikası, doğru və yanlış məsələlərinin müzakirə olunduğu biznes vəziyyətləri, fəaliyyətləri və qərarlarının öyrənilməsidir.""
 ""Biznes etikası real bir anlayış kimi tərif edilə bilməz, çünki bu, ziddiyyətli bir termindir.""
 ""Biznes etikası, bir biznesin fəaliyyətlərini onların gəlirliliyinə əsaslanaraq qiymətləndirmə öyrənilməsi ilə bağlıdır.""]",1
